12p	2	"C1 C2"
10n	1	"C14"
100n	1	"C16"
220n	5	"C8 C9 C11 C12 C15"
680n	1	"C5"
10u	4	"C3 C4 C6 C7"
220u	2	"C13 C17"
330u	2	"C10 L1"
1N5819GLX	1	"D1"
1N4001	1	"D2"
LM2575_PENTAWATT_D2PAK	1	"IC8"
ATMEGA8-P	1	"IC1"
LTV-814	5	"IC3 IC4 IC5 IC6 IC7"
SP485	1	"IC2"
JUMPER	5	"JP1 JP2 JP3 JP4 JP5"
3mm	4	"P6 P7 P8 P9"
CONN_6	1	"P1"
HN1X6	1	"P2"
HD-515R 8P	1	"P3"
HD-515R 2P	1	"P4"
HD-515R 4P	1	"P5"
0.2	2	"R19 R20"
120	1	"R2"
820	2	"R3 R4"
4.7k	12	"R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R16 R17"
10k	1	"R1"
50k	1	"R15"
1M	1	"R18"
30k	1	"RV1"
MAX232	1	"U1"
6N137	2	"U2 U3"
DRV8825PWP	1	"U4"
QUARTZ	1	"X1"
